what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1349118645756
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1349118648416
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1349118648656
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1349118649383
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1349118652867
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1349118653189
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1349118654563
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1349118663388
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1349118665178
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1349118667978
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1349118680938
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1349118681497
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1349118699788
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1349118716251
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1349118717740
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1349118730389
activated,editor,org.eclipse.php.ui,2.1.0.v20090617-2341,"org.eclipse.php.editor",1349118732420
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1349118737345
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1349118737798
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1349118739150
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1349118740919
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1349118742040
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1349118742317
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1349118743279
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1349118743875
